               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.029839,            0.021359,           0.0023585,             0.81419,             0.70027,             0.79081,             0.46235,            0.027226,            0.018524,           0.0012861,            0.008145,            0.008145,            0.008145
                  62,             0.02934,            0.020873,           0.0022511,             0.90831,             0.80092,             0.88222,             0.50158,            0.027465,            0.017105,            0.001145,           0.0080875,           0.0080875,           0.0080875
                  63,            0.029581,            0.020679,           0.0020534,             0.83787,               0.755,             0.81469,             0.46801,            0.026698,            0.018973,          0.00076871,           0.0080294,           0.0080294,           0.0080294
                  64,            0.029031,            0.020822,           0.0020366,             0.87643,             0.65402,             0.79128,             0.46394,             0.02795,            0.017689,           0.0014555,           0.0079706,           0.0079706,           0.0079706
                  65,            0.028683,            0.020754,           0.0017187,             0.79453,             0.74927,             0.80851,             0.47725,            0.026367,            0.017918,           0.0022764,           0.0079112,           0.0079112,           0.0079112
                  66,             0.03008,            0.020677,           0.0020961,             0.82528,             0.76919,             0.84055,             0.47317,            0.026516,            0.017956,           0.0011224,           0.0078512,           0.0078512,           0.0078512
                  67,            0.028632,            0.020404,           0.0018589,             0.88952,             0.71219,             0.85801,             0.49779,            0.026083,            0.018432,          0.00085059,           0.0077907,           0.0077907,           0.0077907
                  68,            0.028862,            0.020245,           0.0018917,             0.82917,              0.8606,             0.88367,             0.52587,            0.025767,            0.017277,           0.0004729,           0.0077296,           0.0077296,           0.0077296
                  69,            0.029123,            0.020541,           0.0021438,             0.84115,             0.79486,             0.87458,             0.49538,            0.026166,            0.017513,           0.0008776,           0.0076679,           0.0076679,           0.0076679
                  70,            0.029355,            0.020574,           0.0023078,             0.79254,             0.80694,             0.84464,             0.48936,            0.027369,            0.017124,           0.0013784,           0.0076057,           0.0076057,           0.0076057
                  71,            0.029193,            0.020801,           0.0025806,             0.82905,             0.81205,             0.88201,             0.51037,            0.026474,            0.017076,           0.0013233,            0.007543,            0.007543,            0.007543
                  72,            0.028583,            0.020545,           0.0018008,             0.78568,             0.79778,             0.84224,             0.49935,            0.025942,            0.017002,          0.00099675,           0.0074797,           0.0074797,           0.0074797
                  73,             0.02778,            0.020175,           0.0020047,             0.81718,             0.81053,             0.84222,             0.51576,            0.025069,            0.017915,          0.00058652,            0.007416,            0.007416,            0.007416
                  74,            0.028288,            0.020118,           0.0018227,             0.86043,             0.76422,             0.87465,             0.52178,            0.024921,            0.017589,           0.0012516,           0.0073518,           0.0073518,           0.0073518
                  75,            0.027917,            0.019773,           0.0014534,             0.85924,             0.73013,             0.84518,             0.51644,            0.024997,            0.016854,             0.00175,           0.0072872,           0.0072872,           0.0072872
                  76,            0.027918,            0.019769,            0.002088,             0.86679,             0.78845,             0.87315,             0.52537,            0.024612,            0.016438,          0.00081792,           0.0072221,           0.0072221,           0.0072221
                  77,            0.028175,            0.019534,           0.0018339,             0.79331,             0.78619,             0.83878,              0.5078,            0.025172,            0.017609,          0.00099697,           0.0071566,           0.0071566,           0.0071566
                  78,            0.028049,            0.020191,           0.0021243,             0.79072,             0.79226,             0.84756,             0.50922,            0.024304,            0.017103,           0.0005123,           0.0070906,           0.0070906,           0.0070906
                  79,            0.027921,            0.019973,           0.0020436,             0.82142,             0.74857,               0.832,             0.50047,            0.026159,            0.016857,           0.0010027,           0.0070243,           0.0070243,           0.0070243
                  80,            0.027246,            0.019786,           0.0018906,             0.90237,             0.74799,             0.87882,             0.55608,             0.02506,            0.017538,          0.00047285,           0.0069576,           0.0069576,           0.0069576
                  81,            0.027157,            0.019378,           0.0016531,             0.85269,             0.82024,             0.89415,             0.53492,            0.026117,            0.017037,          0.00040632,           0.0068906,           0.0068906,           0.0068906
                  82,            0.028196,            0.019619,           0.0016992,             0.88531,             0.78944,             0.89019,             0.54757,            0.024631,            0.016701,          0.00067081,           0.0068232,           0.0068232,           0.0068232
                  83,            0.027676,            0.019359,           0.0017858,              0.8428,             0.85247,             0.89971,             0.54867,            0.024897,            0.016283,          0.00050824,           0.0067555,           0.0067555,           0.0067555
                  84,            0.027057,            0.019371,           0.0015125,             0.74395,             0.82645,             0.80613,             0.49991,            0.025096,            0.017784,          0.00046407,           0.0066874,           0.0066874,           0.0066874
                  85,            0.026714,            0.019427,           0.0017069,             0.84531,             0.88483,             0.91265,             0.56292,            0.023127,            0.016065,          0.00059622,           0.0066191,           0.0066191,           0.0066191
                  86,            0.026747,            0.019351,           0.0017738,             0.89096,              0.8662,             0.92965,             0.57935,             0.02302,             0.01596,          0.00076597,           0.0065505,           0.0065505,           0.0065505
                  87,              0.0267,            0.019455,           0.0017023,             0.90852,             0.80723,             0.89552,             0.55966,            0.023938,            0.016072,          0.00057156,           0.0064816,           0.0064816,           0.0064816
                  88,            0.026538,            0.019359,           0.0015413,             0.86966,             0.82783,             0.90484,             0.57693,            0.022877,            0.015512,          0.00068759,           0.0064125,           0.0064125,           0.0064125
                  89,            0.025961,            0.018704,            0.001591,             0.92014,             0.81319,             0.91505,              0.5622,            0.023296,            0.015855,          0.00077774,           0.0063432,           0.0063432,           0.0063432
                  90,            0.026611,              0.0193,           0.0013224,             0.94869,             0.82959,             0.92607,             0.55301,             0.02359,             0.01582,          0.00052181,           0.0062737,           0.0062737,           0.0062737
                  91,            0.026559,            0.019035,           0.0014954,             0.87737,             0.82904,             0.90586,             0.57035,            0.023537,            0.016102,          0.00076983,            0.006204,            0.006204,            0.006204
                  92,            0.026086,            0.019116,           0.0014713,             0.89257,             0.75687,               0.877,             0.54705,            0.024624,            0.016386,          0.00050434,           0.0061341,           0.0061341,           0.0061341
