               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.012279,           0.0037799,           0.0002721,             0.95687,             0.96547,             0.97772,              0.7564,            0.012687,           0.0032918,          0.00022376,            0.004936,            0.004936,            0.004936
                 110,            0.012251,           0.0036467,          0.00023559,             0.95848,              0.9641,             0.97793,             0.76717,            0.012855,           0.0032789,          0.00025678,           0.0048659,           0.0048659,           0.0048659
                 111,            0.012204,           0.0037985,          0.00029894,              0.9371,             0.97461,             0.97708,             0.76316,            0.012701,            0.003315,          0.00027192,            0.004796,            0.004796,            0.004796
                 112,            0.012121,           0.0037016,          0.00022525,             0.94689,              0.9655,             0.98133,             0.76734,              0.0124,            0.003337,          0.00024258,           0.0047263,           0.0047263,           0.0047263
                 113,            0.012133,           0.0036946,          0.00022974,             0.93911,             0.97325,             0.97836,             0.75426,            0.012696,           0.0032569,          0.00018957,           0.0046568,           0.0046568,           0.0046568
                 114,             0.01204,           0.0036559,          0.00023025,             0.95555,             0.97033,             0.98132,             0.75899,            0.012645,            0.003254,          0.00019371,           0.0045875,           0.0045875,           0.0045875
                 115,            0.012001,           0.0037547,          0.00026411,             0.95612,              0.9743,             0.98264,             0.76853,            0.012654,           0.0032956,           0.0001558,           0.0045184,           0.0045184,           0.0045184
                 116,            0.011786,           0.0037287,          0.00023998,             0.96361,             0.97913,              0.9819,             0.77048,            0.012529,           0.0032361,          0.00018661,           0.0044495,           0.0044495,           0.0044495
                 117,            0.011734,           0.0036755,          0.00022926,              0.9583,             0.96115,             0.98199,             0.77239,            0.012448,            0.003229,          0.00024832,           0.0043809,           0.0043809,           0.0043809
                 118,            0.011675,           0.0035994,          0.00017612,             0.96167,             0.97619,                0.98,             0.76484,            0.012596,           0.0032658,          0.00031344,           0.0043126,           0.0043126,           0.0043126
                 119,            0.011588,           0.0035667,          0.00015209,             0.96864,             0.97182,             0.98311,               0.751,            0.012821,           0.0033266,          0.00026458,           0.0042445,           0.0042445,           0.0042445
                 120,            0.011569,           0.0037014,           0.0001683,             0.97025,             0.97271,             0.98416,              0.7667,            0.012489,           0.0033149,          0.00022599,           0.0041768,           0.0041768,           0.0041768
                 121,            0.011726,           0.0036536,          0.00020434,             0.95569,             0.96405,             0.98428,             0.75942,            0.012954,           0.0033026,          0.00019408,           0.0041094,           0.0041094,           0.0041094
                 122,            0.011607,           0.0036407,          0.00025559,             0.96446,             0.97363,             0.98507,             0.76609,            0.012715,           0.0032154,          0.00025214,           0.0040424,           0.0040424,           0.0040424
                 123,            0.011519,           0.0035419,          0.00014981,             0.97404,             0.97036,             0.98739,             0.76584,            0.012648,           0.0032949,           0.0001285,           0.0039757,           0.0039757,           0.0039757
                 124,            0.011326,           0.0035976,          0.00015227,             0.96537,             0.96068,             0.98134,             0.75814,            0.012723,           0.0032806,          0.00019218,           0.0039094,           0.0039094,           0.0039094
                 125,            0.011129,           0.0035814,          0.00016351,             0.95701,             0.97327,             0.98539,             0.76649,            0.012595,           0.0032901,          0.00013547,           0.0038434,           0.0038434,           0.0038434
                 126,            0.011126,           0.0036004,           0.0001988,             0.95312,             0.97183,             0.97984,             0.76941,             0.01278,           0.0032321,          0.00021463,           0.0037779,           0.0037779,           0.0037779
                 127,            0.011427,           0.0035202,          0.00019335,             0.96386,             0.96115,              0.9793,             0.76868,            0.012759,           0.0032599,          0.00020866,           0.0037128,           0.0037128,           0.0037128
                 128,            0.011283,           0.0034473,          0.00021566,             0.95755,             0.97798,             0.98275,             0.76389,            0.012494,           0.0032088,          0.00017938,           0.0036482,           0.0036482,           0.0036482
                 129,            0.011194,           0.0034927,          0.00022618,             0.95899,             0.97605,             0.98574,             0.77054,            0.012404,           0.0032689,          0.00019028,            0.003584,            0.003584,            0.003584
                 130,            0.011058,           0.0034245,          0.00016313,             0.97155,             0.96994,             0.98292,             0.76788,            0.012527,           0.0032649,          0.00023565,           0.0035203,           0.0035203,           0.0035203
                 131,            0.011246,           0.0033719,          0.00022543,             0.95894,             0.97168,             0.98437,             0.76772,            0.012536,           0.0032411,          0.00023892,            0.003457,            0.003457,            0.003457
                 132,            0.011097,           0.0035451,          0.00017033,             0.95922,             0.97328,             0.98265,             0.76901,            0.012443,           0.0032343,          0.00022621,           0.0033943,           0.0033943,           0.0033943
                 133,            0.010909,           0.0034727,          0.00017318,             0.95759,             0.97395,             0.98317,             0.77199,            0.012265,           0.0032504,          0.00018445,           0.0033321,           0.0033321,           0.0033321
                 134,             0.01076,           0.0033803,           0.0001443,             0.95474,             0.97396,             0.98517,             0.77054,            0.012387,           0.0032511,          0.00014841,           0.0032704,           0.0032704,           0.0032704
                 135,            0.010955,           0.0034201,          0.00017018,             0.95459,             0.97469,             0.98638,             0.76731,            0.012339,           0.0032551,          0.00016651,           0.0032093,           0.0032093,           0.0032093
                 136,            0.010773,           0.0034847,          0.00018322,             0.96751,              0.9732,             0.98412,              0.7664,            0.012487,           0.0032585,          0.00021184,           0.0031488,           0.0031488,           0.0031488
                 137,            0.010803,           0.0034529,          0.00014755,             0.96586,             0.97111,             0.98655,             0.77003,            0.012376,           0.0032211,          0.00016337,           0.0030888,           0.0030888,           0.0030888
                 138,            0.010655,           0.0034007,          0.00017652,             0.96706,             0.96693,             0.98495,             0.76031,            0.012457,           0.0032751,          0.00018095,           0.0030294,           0.0030294,           0.0030294
